broken,rod support,Observation,Item,rod support broken,0,1,O
rod support,broken,Item,Observation,rod support broken,1,0,HAS_OBSERVATION
broken,cup,Observation,Item,cup rod support broken,0,2,O
cup,broken,Item,Observation,cup rod support broken,2,0,HAS_OBSERVATION
broken,on,Observation,Location,on cup rod support broken,0,3,O
on,broken,Location,Observation,on cup rod support broken,3,0,O
broken,ram,Observation,Item,ram on cup rod support broken,0,4,O
ram,broken,Item,Observation,ram on cup rod support broken,4,0,HAS_OBSERVATION
rod support,cup,Item,Item,cup rod support,1,2,O
cup,rod support,Item,Item,cup rod support,2,1,APPEARS_WITH
rod support,on,Item,Location,on cup rod support,1,3,HAS_LOCATION
on,rod support,Location,Item,on cup rod support,3,1,O
rod support,ram,Item,Item,ram on cup rod support,1,4,O
ram,rod support,Item,Item,ram on cup rod support,4,1,APPEARS_WITH
cup,on,Item,Location,on cup,2,3,HAS_LOCATION
on,cup,Location,Item,on cup,3,2,O
cup,ram,Item,Item,ram on cup,2,4,APPEARS_WITH
ram,cup,Item,Item,ram on cup,4,2,O
on,ram,Location,Item,ram on,3,4,O
ram,on,Item,Location,ram on,4,3,HAS_LOCATION
winch,modified,Item,Specifier,modified winch,0,1,HAS_SPECIFIER
modified,winch,Specifier,Item,modified winch,1,0,O
track adjuster fittings,damaged,Item,Observation,damaged track adjuster fittings,0,1,HAS_OBSERVATION
damaged,track adjuster fittings,Observation,Item,damaged track adjuster fittings,1,0,O
track adjuster fittings,replace,Item,Activity,replace damaged track adjuster fittings,0,2,HAS_ACTIVITY
replace,track adjuster fittings,Activity,Item,replace damaged track adjuster fittings,2,0,O
damaged,replace,Observation,Activity,replace damaged,1,2,O
replace,damaged,Activity,Observation,replace damaged,2,1,O
cylinder,spanner,Item,Item,spanner cylinder,0,1,APPEARS_WITH
spanner,cylinder,Item,Item,spanner cylinder,1,0,O
cylinder,deck,Item,Item,deck spanner cylinder,0,2,APPEARS_WITH
deck,cylinder,Item,Item,deck spanner cylinder,2,0,O
cylinder,replace,Item,Activity,replace deck spanner cylinder,0,3,HAS_ACTIVITY
replace,cylinder,Activity,Item,replace deck spanner cylinder,3,0,O
spanner,deck,Item,Item,deck spanner,1,2,O
deck,spanner,Item,Item,deck spanner,2,1,APPEARS_WITH
spanner,replace,Item,Activity,replace deck spanner,1,3,HAS_ACTIVITY
replace,spanner,Activity,Item,replace deck spanner,3,1,O
deck,replace,Item,Activity,replace deck,2,3,HAS_ACTIVITY
replace,deck,Activity,Item,replace deck,3,2,O
