EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	13:42:27	0	0.1000	2.184803501025942	1.2472093105316162	0.6619	0.6097	0.6347	0.4815
2	13:42:31	0	0.1000	1.2594480602203282	0.8964381814002991	0.6678	0.7424	0.7031	0.5584
3	13:42:34	0	0.1000	0.9984785740789479	0.7291697859764099	0.748	0.7486	0.7483	0.6093
4	13:42:38	0	0.1000	0.8627153080468545	0.6760690212249756	0.7637	0.7744	0.769	0.6351
5	13:42:41	0	0.1000	0.7671757450810185	0.6060569286346436	0.7814	0.776	0.7787	0.6455
6	13:42:45	1	0.1000	0.7098544586478239	0.6382891535758972	0.737	0.8095	0.7716	0.6393
7	13:42:48	0	0.1000	0.6462888604923906	0.6019043326377869	0.8015	0.7596	0.78	0.6452
8	13:42:52	0	0.1000	0.6165697735565242	0.5799474716186523	0.7592	0.8072	0.7824	0.6515
9	13:42:55	0	0.1000	0.5856233140380795	0.5421388149261475	0.7888	0.8134	0.8009	0.6766
10	13:42:59	0	0.1000	0.5554853098142607	0.5560851693153381	0.7905	0.8337	0.8116	0.6931
